#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-11-07 16:48:52.270
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 2 kHz
#Period: 500 us
#Amplitude: 50 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V)
-0.005118815789473685,0.1375546888125398
-0.005117565789473684,0.1309197914796777
-0.005116315789473684,0.1232896595468829
-0.005115065789473685,0.115659527614095
-0.005113815789473684,0.1073659059480174
-0.005112565789473685,0.09940402914858291
-0.005111315789473684,0.09376436641565015
-0.005110065789473685,0.08547074474957633
-0.005108815789473684,0.07883584741671049
-0.005107565789473684,0.07054222575062974
-0.005106315789473685,0.06357558355112772
-0.005105065789473684,0.05627719648497553
-0.005103815789473685,0.04765182995225875
-0.005102565789473684,0.04134867748603979
-0.005101315789473685,0.03172807635338978
-0.005100065789473684,0.0240979444205984
-0.005098815789473685,0.01679955735445344
-0.005097565789473684,0.01016466002158805
-0.005096315789473684,0.001871038355506232
-0.005095065789473685,-0.007417817910496445
-0.005093815789473684,-0.01504794984329175
-0.005092565789473685,-0.02367331637600852
-0.005091315789473684,-0.03030821370887059
-0.005090065789473685,-0.03926532510823032
-0.005088815789473684,-0.04656371217438267
-0.005087565789473685,-0.05452558897381353
-0.005086315789473684,-0.06182397603996544
-0.005085065789473684,-0.06945410797276029
-0.005083815789473685,-0.0770842399055482
-0.005082565789473684,-0.08504611670498269
-0.005081315789473685,-0.09234450377113097
-0.005080065789473684,-0.09931114597063614
-0.005078815789473685,-0.1082682573699959
-0.005077565789473684,-0.1152348995695051
-0.005076315789473685,-0.122865031502293
-0.005075065789473684,-0.130826908301731
-0.005073815789473684,-0.1381252953678824
-0.005072565789473685,-0.1450919375673844
-0.005071315789473684,-0.153385559233462
-0.005070065789473685,-0.1606839462996103
-0.005068815789473684,-0.169309312832331
-0.005067565789473685,-0.17594421016519
-0.005066315789473684,-0.1832425972313414
-0.005065065789473684,-0.1908727291641365
-0.005063815789473684,-0.1991663508302103
-0.005062565789473684,-0.2064647378963618
-0.005061315789473685,-0.2134313800958638
-0.005060065789473684,-0.220398022295369
-0.005058815789473685,-0.2280281542281603
-0.005057565789473684,-0.2343313066943793
-0.005056315789473685,-0.2396392245606666
-0.005055065789473684,-0.2476011013601035
-0.005053815789473684,-0.2552312332928975
-0.005052565789473685,-0.2612026408924707
-0.005051315789473684,-0.2691645176919079
-0.005050065789473685,-0.2751359252914811
-0.005048815789473684,-0.2807755880244138
-0.005047565789473685,-0.2874104853572729
